iter	Passed	Remaining
459	800	939
460	801	937
461	803	935
462	804	933
463	806	931
464	807	929
465	809	927
466	811	926
467	815	927
468	817	925
469	819	923
470	820	921
471	821	919
472	823	917
473	824	915
474	825	912
475	827	910
476	828	908
477	830	906
478	831	904
479	832	902
480	834	900
481	836	898
482	837	896
483	839	894
484	840	892
485	841	890
486	843	888
487	844	886
488	846	884
489	847	882
490	848	880
491	850	877
492	851	875
493	853	874
494	855	872
495	857	870
496	858	869
497	860	867
498	863	866
499	868	868
500	871	867
501	874	867
502	876	866
503	879	865
504	881	863
505	882	861
506	884	860
507	886	858
508	888	857
509	890	855
510	892	853
511	893	851
512	895	850
513	896	848
514	898	845
515	899	843
516	900	841
517	902	839
518	903	837
519	904	835
520	906	833
521	907	831
522	909	829
523	911	827
524	912	825
525	914	824
526	916	822
527	917	820
528	919	818
529	921	816
530	922	814
531	923	812
532	925	810
533	927	808
534	928	807
535	930	805
536	932	804
537	934	802
538	935	800
539	937	798
540	938	796
541	939	794
542	941	792
543	942	790
544	944	788
545	945	785
546	946	783
547	947	781
548	949	780
549	951	778
550	953	776
551	954	774
552	956	772
553	957	770
554	959	768
555	960	766
556	961	764
557	963	763
558	965	761
559	966	759
560	967	757
561	969	755
562	970	753
563	972	751
564	974	750
565	976	748
566	978	747
567	980	745
568	982	744
569	984	742
570	985	740
571	987	738
572	988	737
573	990	735
574	992	733
575	993	731
576	995	729
577	997	727
578	998	725
579	999	723
580	1000	721
581	1002	719
582	1003	717
583	1005	715
584	1006	713
585	1007	711
586	1009	709
587	1010	707
588	1012	706
589	1013	704
590	1015	702
591	1016	700
592	1018	698
593	1019	697
594	1021	695
595	1022	693
596	1024	691
597	1025	689
598	1027	687
599	1028	685
600	1030	683
601	1032	682
602	1035	681
603	1037	680
604	1039	678
605	1041	677
606	1042	675
607	1044	673
608	1045	671
609	1046	669
610	1047	667
611	1049	665
612	1050	663
613	1052	661
614	1053	659
615	1054	657
616	1056	655
617	1057	653
618	1059	652
619	1061	650
620	1062	648
621	1064	646
622	1065	645
623	1067	643
624	1069	641
625	1071	640
626	1072	638
627	1074	636
628	1076	634
629	1077	632
630	1079	631
631	1081	629
632	1082	627
633	1084	626
634	1085	624
635	1087	622
636	1088	620
637	1090	618
638	1091	616
639	1093	615
640	1094	613
641	1096	611
642	1097	609
643	1098	607
644	1099	605
645	1101	603
646	1102	601
647	1103	599
648	1105	597
649	1107	596
650	1108	594
651	1110	592
652	1111	590
653	1113	588
654	1114	586
655	1115	585
656	1117	583
657	1118	581
658	1120	579
659	1121	577
660	1123	576
661	1125	574
662	1127	573
663	1129	571
664	1130	569
665	1132	567
666	1134	566
667	1135	564
668	1137	562
669	1138	560
670	1140	559
671	1141	557
672	1142	555
673	1144	553
674	1145	551
675	1147	550
676	1149	548
677	1150	546
678	1151	544
679	1153	542
680	1154	540
681	1155	538
682	1157	537
683	1159	535
684	1161	533
685	1162	532
686	1163	530
687	1165	528
688	1166	526
689	1168	525
690	1170	523
691	1172	521
692	1174	520
693	1176	518
694	1177	516
695	1179	515
696	1181	513
697	1182	511
698	1184	509
699	1185	508
700	1187	506
701	1189	504
702	1190	502
703	1191	501
704	1193	499
705	1194	497
706	1195	495
707	1197	493
708	1198	491
709	1199	490
710	1201	488
711	1203	486
712	1204	484
713	1205	483
714	1207	481
715	1209	479
716	1210	477
717	1212	476
718	1213	474
719	1214	472
720	1216	470
721	1218	468
722	1219	467
723	1220	465
724	1222	463
725	1224	462
726	1227	460
727	1229	459
728	1231	457
729	1232	455
730	1233	454
731	1235	452
732	1236	450
733	1237	448
734	1239	446
735	1240	444
736	1242	443
737	1243	441
738	1244	439
739	1246	437
740	1247	436
741	1249	434
742	1250	432
743	1252	430
744	1253	429
745	1255	427
746	1256	425
747	1258	424
748	1260	422
749	1261	420
750	1262	418
751	1263	416
752	1264	414
753	1266	413
754	1267	411
755	1268	409
756	1269	407
757	1271	405
758	1272	403
759	1273	402
760	1274	400
761	1275	398
762	1276	396
763	1278	394
764	1279	392
765	1280	391
766	1281	389
767	1282	387
768	1283	385
769	1284	383
770	1286	381
771	1287	380
772	1288	378
773	1289	376
774	1290	374
775	1291	372
776	1292	371
777	1294	369
778	1295	367
779	1296	365
780	1297	363
781	1298	362
782	1300	360
783	1301	358
784	1302	356
785	1303	354
786	1304	353
787	1306	351
788	1307	349
789	1308	347
790	1309	345
791	1310	344
792	1311	342
793	1312	340
794	1314	338
795	1315	337
796	1316	335
797	1317	333
798	1318	331
799	1319	329
800	1321	328
801	1322	326
802	1324	324
803	1325	323
804	1327	321
805	1328	319
806	1330	318
807	1332	316
808	1333	314
809	1334	313
810	1335	311
811	1337	309
812	1338	307
813	1339	306
814	1340	304
815	1341	302
816	1343	300
817	1345	299
818	1346	297
819	1347	295
820	1348	294
821	1350	292
822	1351	290
823	1352	288
824	1353	287
825	1355	285
826	1356	283
827	1357	282
828	1359	280
829	1360	278
830	1361	276
831	1362	275
832	1363	273
833	1365	271
834	1366	270
835	1367	268
836	1369	266
837	1370	264
838	1371	263
839	1372	261
840	1374	259
841	1375	258
842	1376	256
843	1377	254
844	1378	252
845	1380	251
846	1381	249
847	1382	247
848	1383	246
849	1384	244
850	1386	242
851	1387	240
852	1388	239
853	1389	237
854	1390	235
855	1392	234
856	1393	232
857	1395	230
858	1397	229
859	1399	227
860	1400	226
861	1402	224
862	1404	222
863	1405	221
864	1407	219
865	1408	217
866	1410	216
867	1411	214
868	1413	213
869	1414	211
870	1416	209
871	1417	208
872	1419	206
873	1420	204
874	1421	203
875	1423	201
876	1424	199
877	1425	198
878	1427	196
879	1428	194
880	1430	193
881	1431	191
882	1433	189
883	1434	188
884	1435	186
885	1437	184
886	1438	183
887	1439	181
888	1441	179
889	1442	178
890	1444	176
891	1446	175
892	1447	173
893	1448	171
894	1450	170
895	1451	168
896	1453	166
897	1454	165
898	1455	163
899	1457	161
900	1458	160
901	1460	158
902	1461	156
903	1462	155
904	1464	153
905	1465	152
906	1467	150
907	1468	148
908	1470	147
909	1471	145
910	1473	143
911	1474	142
912	1476	140
913	1477	139
914	1478	137
915	1479	135
916	1481	134
917	1482	132
918	1484	130
919	1485	129
920	1487	127
921	1488	125
922	1490	124
923	1491	122
924	1492	121
925	1494	119
926	1495	117
927	1496	116
928	1497	114
929	1499	112
930	1501	111
931	1502	109
932	1503	107
933	1505	106
934	1506	104
935	1507	103
936	1509	101
937	1510	99
938	1512	98
939	1513	96
940	1515	95
941	1517	93
942	1518	91
943	1519	90
944	1520	88
945	1522	86
946	1523	85
947	1525	83
948	1526	82
949	1528	80
950	1529	78
951	1530	77
952	1532	75
953	1533	73
954	1534	72
955	1535	70
956	1536	69
957	1538	67
958	1539	65
959	1541	64
960	1542	62
961	1544	60
962	1545	59
963	1546	57
964	1547	56
965	1548	54
966	1550	52
967	1551	51
968	1552	49
969	1553	48
970	1554	46
971	1556	44
972	1557	43
973	1558	41
974	1559	39
975	1560	38
976	1562	36
977	1563	35
978	1565	33
979	1566	31
980	1567	30
981	1568	28
982	1570	27
983	1571	25
984	1572	23
985	1573	22
986	1575	20
987	1576	19
988	1577	17
989	1578	15
990	1579	14
991	1580	12
992	1582	11
993	1583	9
994	1584	7
995	1585	6
996	1587	4
997	1588	3
998	1589	1
999	1590	0
